Family,Species,French Name,Latin Name,Species Code,Num
Lapwings and Plovers (Charadriidae),Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,SEPL,1
Lapwings and Plovers (Charadriidae),Piping Plover,Pluvier siffleur,Charadrius melodus,PIPL,2
Lapwings and Plovers (Charadriidae),Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,WIPL,1
Lapwings and Plovers (Charadriidae),Mountain Plover,Pluvier montagnard,Charadrius montanus,MOPL,2
Lapwings and Plovers (Charadriidae),Snowy Plover,Pluvier neigeux,Charadrius nivosus,SNPL,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Upland Sandpiper,Maubèche des champs,Bartramia longicauda,UPSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Whimbrel,Courlis corlieu,Numenius phaeopus,WHIM,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Long-billed Curlew,Courlis à long bec,Numenius americanus,LBCU,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,HUGO,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Marbled Godwit,Barge marbrée,Limosa fedoa,MAGO,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,RUTU,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Black Turnstone,Tournepierre noir,Arenaria melanocephala,BLTU,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Red Knot,Bécasseau maubèche,Calidris canutus,REKN,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Surfbird,Bécasseau du ressac,Calidris virgata,SURF,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,STSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Sanderling,Bécasseau sanderling,Calidris alba,SAND,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Dunlin,Bécasseau variable,Calidris alpina,DUNL,1
