Pigeons and Doves (Columbidae),Inca Dove,Colombe inca,Columbina inca,INDO,1
Pigeons and Doves (Columbidae),Common Ground Dove,Colombe à queue noire,Columbina passerina,CGDO,1
Pigeons and Doves (Columbidae),Ruddy Ground Dove,Colombe rousse,Columbina talpacoti,RGDO,3
Pigeons and Doves (Columbidae),Ruddy Quail-Dove,Colombe rouviolette,Geotrygon montana,RUQD,5
Pigeons and Doves (Columbidae),Key West Quail-Dove,Colombe à joues blanches,Geotrygon chrysia,KWQD,4
Pigeons and Doves (Columbidae),White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,WTDO,2
Pigeons and Doves (Columbidae),White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,WWDO,1
Pigeons and Doves (Columbidae),Zenaida Dove,Tourterelle à queue carrée,Zenaida aurita,ZEND,4
Pigeons and Doves (Columbidae),Mourning Dove,Tourterelle triste,Zenaida macroura,MODO,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,SBAN,3
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,GBAN,2
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,GRRO,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Common Cuckoo,Coucou gris,Cuculus canorus,COCU,3
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Oriental Cuckoo,Coucou oriental,Cuculus optatus,ORCU,4
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Dark-billed Cuckoo,Coulicou de Vieillot,Coccyzus melacoryphus,DBCU,5
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,YBCU,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,MACU,2
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,BBCU,1
Goatsuckers (Caprimulgidae),Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,LENI,1
Goatsuckers (Caprimulgidae),Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,CONI,1
Goatsuckers (Caprimulgidae),Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,ANNI,2
Goatsuckers (Caprimulgidae),Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,COPA,2
Goatsuckers (Caprimulgidae),Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,COPO,1
Goatsuckers (Caprimulgidae),Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,CWWI,1
Goatsuckers (Caprimulgidae),Buff-collared Nightjar,Engoulevent de Ridgway,Antrostomus ridgwayi,BCNI,3
Goatsuckers (Caprimulgidae),Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,EWPW,1
Goatsuckers (Caprimulgidae),Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,MWPW,2
Goatsuckers (Caprimulgidae),Gray Nightjar,Engoulevent jotaka,Caprimulgus jotaka,GRNI,5
Swifts (Apodidae),Black Swift,Martinet sombre,Cypseloides niger,BLSW,2
Swifts (Apodidae),White-collared Swift,Martinet à collier blanc,Streptoprocne zonaris,WCSW,4
Swifts (Apodidae),Chimney Swift,Martinet ramoneur,Chaetura pelagica,CHSW,1
Swifts (Apodidae),Vaux's Swift,Martinet de Vaux,Chaetura vauxi,VASW,1
Swifts (Apodidae),White-throated Needletail,Martinet épineux,Hirundapus caudacutus,WTNE,5
Swifts (Apodidae),Mariana Swiftlet,Salangane de Guam,Aerodramus bartschi,MASW,2
Swifts (Apodidae),Common Swift,Martinet noir,Apus apus,COSW,4
Swifts (Apodidae),Pacific (Fork-tailed) Swift,Martinet de Sibérie,Apus pacificus,FTSW,4
Swifts (Apodidae),White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,WTSW,1
Swifts (Apodidae),Antillean Palm-Swift,Martinet petit-rollé,Tachornis phoenicobia,ANPS,5
Hummingbirds (Trochilidae),Mexican Violetear,Colibri thalassin,Colibri thalassinus,MEVI,3
Hummingbirds (Trochilidae),Green-breasted Mango,Mango de Prévost,Anthracothorax prevostii,GNBM,4
Hummingbirds (Trochilidae),Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,RIHU,2
Hummingbirds (Trochilidae),Plain-capped Starthroat,Colibri de Constant,Heliomaster constantii,PCST,4
Hummingbirds (Trochilidae),Amethyst-throated Mountain-gem,Colibri à gorge améthyste,Lampornis amethystinus,ATMG,5
Hummingbirds (Trochilidae),Blue-throated Mountain-gem,Colibri à gorge bleue,Lampornis clemenciae,BTMG,2
Hummingbirds (Trochilidae),Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,LUHU,2
Hummingbirds (Trochilidae),Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,RTHU,1
Hummingbirds (Trochilidae),Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,BCHU,1
Hummingbirds (Trochilidae),Bahama Woodstar,Colibri des Bahamas,Nesophlox evelynae,BAWO,5
Hummingbirds (Trochilidae),Anna's Hummingbird,Colibri d'Anna,Calypte anna,ANHU,1
Hummingbirds (Trochilidae),Costa's Hummingbird,Colibri de Costa,Calypte costae,COHU,1
Hummingbirds (Trochilidae),Calliope Hummingbird,Colibri calliope,Selasphorus calliope,CAHU,1
Hummingbirds (Trochilidae),Rufous Hummingbird,Colibri roux,Selasphorus rufus,RUHU,1
Hummingbirds (Trochilidae),Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,ALHU,1
Hummingbirds (Trochilidae),Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,BTHU,1
